event_id,rdate,description,url,affiliation
wikipedia-2014-01-01christianfeast-day:basil-the-great-eastern-orthodox-church-feast-of-the-circumcision-of-christfeast-of-the-holy-name-of-jesus-lutheran-church-fulgentius-of-ruspesolemnity-of-mary-mother-of-god-theoctaveday-ofchristmas-considered-aholy-day-of-obligationin-some-countries-catholic-church-telemachusworld-day-of-peace-catholic-church-january-1-eastern-orthodox-liturgics,2014-01-01,"ChristianFeast Day:Basil the Great(Eastern Orthodox Church)Feast of the Circumcision of ChristFeast of the Holy Name of Jesus(Lutheran Church)Fulgentius of RuspeSolemnity of Mary, Mother of God, theOctaveDay ofChristmas, considered aholy day of obligationin some countries (Catholic Church)TelemachusWorld Day of Peace(Catholic Church)January 1 (Eastern Orthodox liturgics)",http://en.wikipedia.org/wiki/Calendar_of_saints,
wikipedia-2014-01-01basil-the-great-eastern-orthodox-church,2014-01-01,Basil the Great(Eastern Orthodox Church),http://en.wikipedia.org/wiki/Basil_of_Caesarea,
wikipedia-2014-01-01feast-of-the-circumcision-of-christ,2014-01-01,Feast of the Circumcision of Christ,http://en.wikipedia.org/wiki/Circumcision_of_Jesus,
wikipedia-2014-01-01feast-of-the-holy-name-of-jesus-lutheran-church,2014-01-01,Feast of the Holy Name of Jesus(Lutheran Church),http://en.wikipedia.org/wiki/Feast_of_the_Holy_Name_of_Jesus,
wikipedia-2014-01-01fulgentius-of-ruspe,2014-01-01,Fulgentius of Ruspe,http://en.wikipedia.org/wiki/Fulgentius_of_Ruspe,
wikipedia-2014-01-01solemnity-of-mary-mother-of-god-theoctaveday-ofchristmas-considered-aholy-day-of-obligationin-some-countries-catholic-church,2014-01-01,"Solemnity of Mary, Mother of God, theOctaveDay ofChristmas, considered aholy day of obligationin some countries (Catholic Church)","http://en.wikipedia.org/wiki/Solemnity_of_Mary,_Mother_of_God",
wikipedia-2014-01-01telemachus,2014-01-01,Telemachus,http://en.wikipedia.org/wiki/Saint_Telemachus,
wikipedia-2014-01-01world-day-of-peace-catholic-church,2014-01-01,World Day of Peace(Catholic Church),http://en.wikipedia.org/wiki/World_Day_of_Peace,
wikipedia-2014-01-01january-1-eastern-orthodox-liturgics,2014-01-01,January 1 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/January_1_(Eastern_Orthodox_liturgics),
wikipedia-2014-01-01constitution-day-italy,2014-01-01,Constitution Day(Italy),http://en.wikipedia.org/wiki/Constitution_Day,
wikipedia-2014-01-01dissolution-of-czechoslovakiarelated-observances:day-of-the-establishment-of-the-slovak-republic-slovakia-restoration-day-of-the-independent-czech-state-czech-republic,2014-01-01,Dissolution of Czechoslovakiarelated observances:Day of the Establishment of the Slovak Republic(Slovakia)Restoration Day of the Independent Czech State(Czech Republic),http://en.wikipedia.org/wiki/Dissolution_of_Czechoslovakia,
wikipedia-2014-01-01day-of-the-establishment-of-the-slovak-republic-slovakia,2014-01-01,Day of the Establishment of the Slovak Republic(Slovakia),http://en.wikipedia.org/wiki/Public_holidays_in_Slovakia,
wikipedia-2014-01-01restoration-day-of-the-independent-czech-state-czech-republic,2014-01-01,Restoration Day of the Independent Czech State(Czech Republic),http://en.wikipedia.org/wiki/Public_holidays_in_the_Czech_Republic,
wikipedia-2014-01-01earliest-day-on-whichhandsel-mondaycan-fall-whilejanuary-7is-the-latest;-celebrated-on-the-first-monday-of-the-year-scotland,2014-01-01,"Earliest day on whichHandsel Mondaycan fall, whileJanuary 7is the latest; celebrated on the first Monday of the year (Scotland)",http://en.wikipedia.org/wiki/Handsel_Monday,
wikipedia-2014-01-01founding-day-taiwan,2014-01-01,Founding Day(Taiwan),http://en.wikipedia.org/wiki/Public_holidays_in_Taiwan,
wikipedia-2014-01-01global-family-day-international,2014-01-01,Global Family Day(International),http://en.wikipedia.org/wiki/Global_Family_Day,
wikipedia-2014-01-01independence-day-celebrates-the-independence-ofbruneifromunited-kingdomin-1984,2014-01-01,"Independence Day, celebrates the independence ofBruneifromUnited Kingdomin 1984",http://en.wikipedia.org/wiki/List_of_national_independence_days,
wikipedia-2014-01-01independence-day-celebrates-the-independence-ofhaitifromfrancein-1804,2014-01-01,"Independence Day, celebrates the independence ofHaitifromFrancein 1804",http://en.wikipedia.org/wiki/Haiti,
wikipedia-2014-01-01independence-day-celebrates-the-independence-ofsudanfromunited-kingdomin-1956,2014-01-01,"Independence Day, celebrates the independence ofSudanfromUnited Kingdomin 1956",http://en.wikipedia.org/wiki/Sudan,
wikipedia-2014-01-01national-tree-planting-day-tanzania,2014-01-01,National Tree Planting Day(Tanzania),http://en.wikipedia.org/wiki/Arbor_Day,
wikipedia-2014-01-01new-year-s-day-many-countries-around-the-world-using-thegregorian-calendar,2014-01-01,New Year's Day(many countries around the world using theGregorian calendar),http://en.wikipedia.org/wiki/New_Year%27s_Day,
wikipedia-2014-01-01public-domain-day,2014-01-01,Public Domain Day,http://en.wikipedia.org/wiki/Public_Domain_Day,
wikipedia-2014-01-01the-eighthday-of-christmas-western-christianity,2014-01-01,The eighthday of Christmas(Western Christianity),http://en.wikipedia.org/wiki/Twelve_Days_of_Christmas,
wikipedia-2014-01-01the-last-day-ofkwanzaa-united-states,2014-01-01,The last day ofKwanzaa(United States),http://en.wikipedia.org/wiki/Kwanzaa,
wikipedia-2014-01-01the-presidents-ofbrazilandswitzerlandtake-possession,2014-01-01,The presidents ofBrazilandSwitzerlandtake possession.,http://en.wikipedia.org/wiki/Brazil,
wikipedia-2014-01-01triumph-of-the-revolution-cuba,2014-01-01,Triumph of the Revolution(Cuba),http://en.wikipedia.org/wiki/Public_holidays_in_Cuba,
wikipedia-2014-01-02ancestry-day-haiti,2014-01-02,Ancestry Day(Haiti),http://en.wikipedia.org/wiki/Public_holidays_in_Haiti,
wikipedia-2014-01-02berchtold-s-day-switzerland-liechtensteinand-thealsace,2014-01-02,"Berchtold's Day(Switzerland,Liechtensteinand theAlsace)",http://en.wikipedia.org/wiki/Berchtoldstag,
wikipedia-2014-01-02carnival-day-saint-kitts-and-nevis,2014-01-02,Carnival Day(Saint Kitts and Nevis),http://en.wikipedia.org/wiki/Carnival,
wikipedia-2014-01-02christianfeast-day:basil-the-great-catholic-churchandchurch-of-england-defendens-of-thebesgregory-of-nazianzus-catholic-church-johann-konrad-wilhelm-lohe-lutheran-church-macarius-of-alexandriaseraphim-of-sarov-repose-vedanayagam-samuel-azariah-episcopal-church-january-2-eastern-orthodox-liturgics,2014-01-02,ChristianFeast Day:Basil the Great(Catholic ChurchandChurch of England)Defendens of ThebesGregory of Nazianzus(Catholic Church)Johann Konrad Wilhelm Löhe(Lutheran Church)Macarius of AlexandriaSeraphim of Sarov(repose)Vedanayagam Samuel Azariah(Episcopal Church)January 2 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Calendar_of_saints,
wikipedia-2014-01-02basil-the-great-catholic-churchandchurch-of-england,2014-01-02,Basil the Great(Catholic ChurchandChurch of England),http://en.wikipedia.org/wiki/Basil_of_Caesarea,
